Model,Overall Dice,Background Dice,Liver Dice,Tumor Dice,Tumor Recall,Tumor Precision,Tumor F1,Small Tumor Recall,Small Tumor Precision,Small Tumor F1
small_tumor,0.785304916947944,0.9967180663146652,0.9198745609490708,0.785304916947944,0.6571094779369007,0.8152164270618624,0.7276737289936577,0.5140755769718488,0.8790112749349523,0.6487437990078412
attention_cbam,0.77381056504207,0.9964304516235223,0.9122495606272231,0.77381056504207,0.68601238515758,0.7938027168173035,0.7359818052696804,0.5126806999746386,0.8679690854443968,0.6446109693877551
standard_20250317,0.7715486607648809,0.995987708751972,0.908535028024036,0.7715486607648809,0.676171978922729,0.8233004537586168,0.742518081603502,0.4856708090286584,0.8758289503773153,0.6248470511460967
