Model,Recall,Precision,F1 Score,Tumor Dice,Overall Dice
small_tumor,0.5140755769718488,0.8790112749349523,0.6487437990078412,0.785304916947944,0.785304916947944
attention_cbam,0.5126806999746386,0.8679690854443968,0.6446109693877551,0.77381056504207,0.77381056504207
standard_20250317,0.4856708090286584,0.8758289503773153,0.6248470511460967,0.7715486607648809,0.7715486607648809
baseline_20250316,0.454983515090033,0.877047176729406,0.5991483677047674,0.7885710487896079,0.7885710487896079
